Function,0,1/10,1/4,1/3,1/2,2/3,3/4,1
Sin,0.0,0.5877,1.0,0.866,0.0,-0.866,-1.0,0.0
Cos,1.0,0.809,0.0,-0.5,-1.0,-0.5,0.0,1.0
Tan,0.0,0.7265,—,-1.7321,0.0,1.7321,—,0.0
