Function,0,1/10,1/4,1/3,1/2,2/3,3/4,1
Sin,0.0,0.587785,1.0,0.866025,0.0,-0.866025,-1.0,0.0
Cos,1.0,0.809016,0.0,-0.5,-1.0,-0.5,0.0,1.0
Tan,0.0,0.726542,—,-1.732051,0.0,1.732051,—,0.0
